Platform,Video URL,Comment,Engagement,Matched Keywords
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,As a foreigner it is so bizarre to watch the American right act like they've been oppressed for centuries and have the oval office for the first time in history after decades of being executed for opening their mouths. They're so fucking dramatic.,2,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Rest in Peace Free Speech

Coming in 2028 Unification of all countries under one government Donny J future president of Earthica",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,pam bondi is gonna go after that dude asking for homeless people to be killed?,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"7:37  And for far too long we've watched the mainstream right wing normalized threats, call for public executions, and cheer on political violence, like the whole insurrectionist attack on our reps in the Capital.
Remember that hanging noose they had for Mike Pence just for doing his job?
What did you do with all those attackers?  
Pardoned.
What about all the news outlets that spread the dangerous lie that the election was stolen?
Nothing. 

These fascists aren't serious people.  Hypocrisy is their weapon of choice to get whatever they want.",1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"7:33  uh,  yeah fascist bimbo.  If it crosses a line into being something other than just hateful,  like a threat,  then it can be illegal. 
Because it's an actual threat. 

Will she try to arrest me now for calling her a bimbo since some random lunatic could read that and feel inspired to commit an actual hate CRIME against fascist bimbos? 
(I can only hope not.)",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"NOW the right wing wants to use government power to punish whatever is ""HATE SPEECH""? 

I'm sorry but that is such disrespect the Charlie Kirk's legacy. 
That man work tirelessly to normalize hate speech in our public discourse.
He was a martyr for stochastic terrorism.   (look it up)",0,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,I truly believe all Democrats are under a demonic spell. It makes me sick to hear the crap that comes out of your mouth,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"I thought donald wanted to dismantle the FBI?  Now, they are stating that they have the American People's trust?",2,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Ill pray for you.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,You have to admit it is extremely Ironic that a group of people that survived a genocide are now partaking in one. I guess this is just what human beings aspire to do.,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,at what point is Trump charged with insurrection again.,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,<3,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,When is the Class Action Lawsuit against Fat Trump? He has made all of our lives unnecaserily stressfull.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"27:39 they're not about erasing history, except for the parts about slavery and anything else that might be viewed as a dark part of our history, or any beneficial things American people of color have done for the country and the world as a whole",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"21:19 Trump files a lawsuit for defamation and libel, proceeds to defame The New York Times.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,I love how these clowns are looking at a gun control issue and is blaming memes,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Ah. So now they understand what hate speech is,0,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Mrs Kirk needs a job at checkers and live normally like the rest of us .,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"they're heads would be spinning if they heard some of the things our founder fathers said. 
""Give me liberty, or give me death.""",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,😱😱😱😱 CaNcEl CuLtUrE is bad now even though you guys created it. Muh FreEsPeAcH while censoring conservatives for over a decade and still doing it to this day. Cry me a river hypocrites!!!!,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Not new, not surprising!  Too many of YOU voted for this madness.  You didn't realize the goal of the MAGA regime is destruction of your America and totalitarian rule.  The billionaire/millionaire oligarchs are dancing in the streets, Russia and North Korea are their models.  Can you say FAFO?

P.S.
As a member of the many disenfranchised Americans I have never been part of your dream, benefits, freedoms, and former privileges.  We will continue to survive, we know how.  Now sit down shut up and welcome to our world!",1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"I feel like Charlie may have been a problematic person, but i doubt he would appreciate any of this, especially over his own death.",4,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Unfortunately, there are soft, inconsistent members of the right too. I've left this redundant debate entirely. We need a new system of administration. We do have the technology.",0,N/A
